true_bdf_mag_deredden_g balrog
19.125 0.9565217391304348
19.375 0.96
19.625 0.9565217391304348
19.875 0.9777777777777777
20.125 0.9814814814814815
20.375 1.0
20.625 0.9888888888888889
20.875 0.9813084112149533
21.125 0.9846153846153847
21.375 0.9940119760479041
21.625 0.976878612716763
21.875 0.9901960784313726
22.125 0.9691119691119691
22.375 0.9713467048710601
22.625 0.9587155963302753
22.875 0.9627659574468085
23.125 0.9559659090909091
23.375 0.9229074889867841
23.625 0.8896265560165975
23.875 0.8193979933110368
24.125 0.6853112840466926
24.375 0.5029313232830821
24.625 0.34413965087281795
24.875 0.19139512812401138
