true_bdf_mag_deredden_z balrog
19.125 0.9901960784313726
19.375 0.9927536231884058
19.625 0.9928057553956835
19.875 1.0
20.125 0.9868421052631579
20.375 0.9925373134328358
20.625 0.9674556213017751
20.875 0.9849624060150376
21.125 0.9692307692307692
21.375 0.9675675675675676
21.625 0.9625187406296851
21.875 0.9527744982290437
22.125 0.9205816554809844
22.375 0.9145077720207254
22.625 0.8450244698205547
22.875 0.7709677419354839
23.125 0.6339285714285714
23.375 0.4520547945205479
23.625 0.30248799650807506
23.875 0.1714859437751004
24.125 0.06274638633377136
24.375 0.02929508696978944
24.625 0.011207621182404036
24.875 0.005153163469796736
