true_bdf_mag_deredden_i balrog
19.125 1.0
19.375 0.9908256880733946
19.625 0.9915254237288136
19.875 0.9929078014184397
20.125 1.0
20.375 0.9951923076923077
20.625 0.9753086419753086
20.875 0.9778481012658228
21.125 0.98
21.375 0.9657701711491442
21.625 0.9684014869888475
21.875 0.9692307692307692
22.125 0.9549180327868853
22.375 0.954945054945055
22.625 0.9320574162679426
22.875 0.9082864038616251
23.125 0.8343475321162948
23.375 0.7239117471675611
23.625 0.5486593843098312
23.875 0.2990216928966397
24.125 0.13878469617404351
24.375 0.048734177215189876
24.625 0.013968072976054732
24.875 0.008277703604806409
