sof_converted_i_dered HSC
19.125 0.9790954009882175
19.375 0.9751471550032701
19.625 0.9672043010752688
19.875 0.965192005389625
20.125 0.9682151589242054
20.375 0.9586559306286776
20.625 0.9579629159258318
20.875 0.9618790496760259
21.125 0.9612601886619654
21.375 0.9609570831750854
21.625 0.955937218577126
21.875 0.9553600345460433
22.125 0.9547412815745318
22.375 0.953399599380173
22.625 0.9458509368852195
22.875 0.9235795530936567
23.125 0.8697037054011321
23.375 0.7542972315181016
23.625 0.5578340532815185
23.875 0.3153728294177732
24.125 0.12511022416113612
24.375 0.037549120992761115
24.625 0.011047333352562808
24.875 0.004127273599846427
