bdf_mag_dered_calib_z deep
19.125 0.965435041716329
19.375 0.9605662285136501
19.625 0.9560094265514533
19.875 0.9483568075117371
20.125 0.9590027700831025
20.375 0.962510897994769
20.625 0.956893348197696
20.875 0.957111321349732
21.125 0.9580976863753213
21.375 0.9602919081347929
21.625 0.960951689066473
21.875 0.9616950686171015
22.125 0.9556239579325382
22.375 0.936468015308912
22.625 0.8997823412510646
22.875 0.8244341727765381
23.125 0.7087743732590529
23.375 0.5463437628896353
23.625 0.36542328574301225
23.875 0.20060737527114966
24.125 0.0826917270531401
24.375 0.028472618607930697
24.625 0.00838139870223504
24.875 0.002279920605117751
