bdf_mag_dered_calib_i deep
19.125 0.9588414634146342
19.375 0.9687875150060024
19.625 0.9665621734587252
19.875 0.9503311258278145
20.125 0.9504535938590369
20.375 0.9610983981693364
20.625 0.957861350249207
20.875 0.9582677165354331
21.125 0.9551757497581426
21.375 0.960505104782375
21.625 0.9568261376896149
21.875 0.9655629139072848
22.125 0.9652453740949316
22.375 0.9612413606179699
22.625 0.9537657616721572
22.875 0.939227062641361
23.125 0.9004798146922568
23.375 0.8025087108013937
23.625 0.6242275854028215
23.875 0.38864055971237005
24.125 0.1731873803379672
24.375 0.05526020758742903
24.625 0.01313770617568086
24.875 0.003666916902465785
