true_bdf_mag_deredden_r balrog
19.125 1.0
19.375 1.0
19.625 0.9880952380952381
19.875 1.0
20.125 1.0
20.375 0.9797297297297297
20.625 0.9939393939393939
20.875 0.9820627802690582
21.125 0.9789915966386554
21.375 0.9787234042553191
21.625 0.9781420765027322
21.875 0.957345971563981
22.125 0.9688715953307393
22.375 0.9558599695585996
22.625 0.9558011049723757
22.875 0.9589905362776026
23.125 0.9215686274509803
23.375 0.8842182890855457
23.625 0.7938671209540034
23.875 0.6334310850439883
24.125 0.42025420254202545
24.375 0.20693205216197666
24.625 0.07434491163924437
24.875 0.03315217391304348
