bdf_mag_dered_calib_r deep
19.125 0.9600886917960089
19.375 0.9628252788104089
19.625 0.9572784810126582
19.875 0.9541809851088202
20.125 0.9558067831449126
20.375 0.947107438016529
20.625 0.9466216216216217
20.875 0.9485002829654782
21.125 0.9477401129943502
21.375 0.9554064719810577
21.625 0.9544062606328684
21.875 0.950828729281768
22.125 0.9581090568687105
22.375 0.9582683307332294
22.625 0.959102482495226
22.875 0.957207498383969
23.125 0.950021404109589
23.375 0.9251234942369356
23.625 0.8629579375848032
23.875 0.7155383476627
24.125 0.4859313449634215
24.375 0.24219641802794725
24.625 0.09665097878725872
24.875 0.035508464401488776
