bdf_mag_dered_calib_g deep
19.125 0.9485714285714286
19.375 0.9653465346534653
19.625 0.9507575757575758
19.875 0.9509536784741145
20.125 0.9436008676789588
20.375 0.9523809523809523
20.625 0.9328165374677002
20.875 0.954599761051374
21.125 0.9507722007722008
21.375 0.9517786561264822
21.625 0.9464402351404311
21.875 0.9467640918580376
22.125 0.9502319696330662
22.375 0.9532286212914485
22.625 0.9531855955678671
22.875 0.955757970071568
23.125 0.9554289544235925
23.375 0.9483574076441263
23.625 0.9330081624527174
23.875 0.8705214890805938
24.125 0.7401161354089449
24.375 0.5528402894815109
24.625 0.3667985836284107
24.875 0.22092118296306779
